start,type,end,properties
evidence:acc3a08708e106098c3f9f42,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:5ab6ed8e70c035b3bfd613b4,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:c5989b3de6aedcd41259d13f,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:6ed234a05bc08022c8b483cc,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:ba01b9d461d2571239fa4fab,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:c1e796544353d53756e852b3,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:179b9a4dffd7ed5d56aeab75,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:ca6df3eb0cc555da33f6819f,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:64b558c44cbe90455b0bf9c8,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:11967374e417d607e4c33c6d,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
